core_fam,zone,dist_max,num_core,num_small,num_add,num_tot,semimajor_axis_min,semimajor_axis_max,eccentricity_min,eccentricity_max,sin_inclination_min,sin_inclination_max
4,2,70.0,1599,1052,13930,16581,2.256,2.482,0.08,0.128,0.1,0.133
20,2,70.0,86,3546,10825,14457,2.334,2.474,0.145,0.175,0.019,0.034
135,2,70.0,1141,5095,18686,24922,2.288,2.478,0.134,0.215,0.025,0.059
298,2,70.0,43,0,243,286,2.259,2.288,0.146,0.161,0.1,0.114
752,2,70.0,27,90,143,260,2.42,2.484,0.084,0.096,0.085,0.092
883,2,70.0,46,0,270,316,2.213,2.26,0.139,0.152,0.092,0.103
1338,2,70.0,38,0,170,208,2.254,2.302,0.119,0.13,0.075,0.093
2076,2,70.0,140,528,1718,2386,2.251,2.325,0.129,0.153,0.088,0.106
25,2,130.0,944,0,1807,2751,2.258,2.419,0.159,0.266,0.365,0.425
3,3,90.0,45,257,4034,4336,2.621,2.703,0.227,0.245,0.224,0.24
5,3,60.0,5192,0,6955,12147,2.531,2.647,0.713,0.782,0.036,0.128
15,3,90.0,2741,0,17640,20381,2.517,2.77,0.116,0.181,0.201,0.256
93,3,90.0,641,0,3260,3901,2.718,2.816,0.114,0.156,0.146,0.169
110,3,90.0,168,0,1302,1470,2.696,2.781,0.025,0.061,0.083,0.108
145,3,90.0,327,0,3794,4121,2.572,2.714,0.153,0.181,0.193,0.215
170,3,90.0,785,0,5888,6673,2.518,2.682,0.066,0.129,0.229,0.269
410,3,90.0,55,0,173,228,2.705,2.769,0.237,0.266,0.145,0.162
668,3,90.0,259,0,3405,3664,2.742,2.812,0.187,0.205,0.128,0.143
729,3,90.0,73,0,59,132,2.72,2.816,0.108,0.146,0.294,0.305
808,3,90.0,72,166,2168,2406,2.705,2.81,0.125,0.144,0.079,0.093
847,3,90.0,176,175,6922,7273,2.711,2.819,0.062,0.085,0.055,0.077
1658,3,90.0,98,172,1022,1292,2.544,2.627,0.163,0.185,0.121,0.142
1726,3,90.0,84,159,4416,4659,2.75,2.82,0.041,0.053,0.066,0.089
2782,3,90.0,21,0,155,176,2.653,2.705,0.185,0.198,0.06,0.073
3827,3,90.0,29,310,1403,1742,2.701,2.768,0.082,0.096,0.079,0.094
2,3,140.0,38,0,31,69,2.74,2.791,0.254,0.283,0.529,0.55
148,3,140.0,95,0,419,514,2.698,2.812,0.114,0.151,0.419,0.431
194,3,140.0,235,0,790,1025,2.519,2.691,0.153,0.199,0.292,0.317
480,3,140.0,860,0,3712,4572,2.535,2.731,0.0,0.102,0.363,0.385
945,3,140.0,219,0,868,1087,2.588,2.671,0.186,0.289,0.506,0.522
1222,3,140.0,68,0,481,549,2.755,2.815,0.065,0.116,0.347,0.361
4203,3,140.0,34,0,38,72,2.58,2.694,0.118,0.135,0.47,0.489
10369,3,140.0,17,0,19,36,2.542,2.609,0.103,0.119,0.468,0.482
14916,3,140.0,16,0,14,30,2.71,2.761,0.267,0.282,0.535,0.544
23255,3,140.0,10,0,3,13,2.654,2.7,0.095,0.113,0.458,0.469
40134,3,140.0,13,0,25,38,2.71,2.746,0.222,0.235,0.429,0.44
116763,3,140.0,13,0,87,100,2.606,2.665,0.234,0.248,0.461,0.469
10,4,100.0,511,90,4057,4658,3.063,3.242,0.1,0.166,0.073,0.107
24,4,100.0,1208,0,8793,10001,3.062,3.241,0.113,0.192,0.009,0.049
96,4,100.0,38,0,171,209,3.029,3.083,0.174,0.189,0.278,0.291
158,4,100.0,930,0,12609,13539,2.816,2.986,0.016,0.101,0.029,0.047
179,4,100.0,60,0,856,916,2.946,3.019,0.051,0.082,0.145,0.16
221,4,100.0,3098,310,32134,35542,2.948,3.211,0.022,0.133,0.148,0.212
283,4,100.0,49,0,984,1033,3.025,3.084,0.107,0.124,0.154,0.166
293,4,100.0,38,0,1992,2030,2.832,2.875,0.118,0.133,0.256,0.265
375,4,100.0,281,0,1608,1889,3.094,3.241,0.057,0.13,0.262,0.304
490,4,100.0,187,46,6147,6380,3.14,3.201,0.047,0.08,0.15,0.173
778,4,100.0,29,0,2680,2709,3.154,3.2,0.239,0.261,0.242,0.253
845,4,100.0,29,0,660,689,2.914,2.962,0.029,0.041,0.204,0.211
1040,4,100.0,274,0,5333,5607,3.076,3.179,0.176,0.219,0.278,0.305
1118,4,100.0,47,0,205,252,3.133,3.251,0.034,0.06,0.251,0.268
1298,4,100.0,69,0,256,325,3.088,3.221,0.105,0.124,0.103,0.125
3330,4,100.0,63,0,3770,3833,3.118,3.179,0.184,0.214,0.17,0.184
3438,4,100.0,20,0,57,77,3.036,3.076,0.174,0.188,0.247,0.256
3460,4,100.0,28,0,70,98,3.159,3.219,0.186,0.211,0.015,0.028
5651,4,100.0,20,0,99,119,3.097,3.177,0.111,0.13,0.229,0.243
31,4,80.0,968,0,2952,3920,3.075,3.226,0.149,0.232,0.431,0.46
780,4,80.0,41,0,231,272,3.083,3.139,0.058,0.076,0.309,0.315
895,4,80.0,25,0,425,450,3.192,3.228,0.167,0.185,0.437,0.447
1303,4,80.0,179,0,552,731,3.187,3.238,0.105,0.145,0.309,0.338
5931,4,80.0,19,0,18,37,3.174,3.221,0.16,0.173,0.3,0.314
7605,4,80.0,12,0,76,88,3.136,3.159,0.063,0.075,0.447,0.454
22805,4,80.0,17,0,28,45,3.129,3.167,0.164,0.176,0.3,0.309
58892,4,80.0,14,0,19,33,3.112,3.155,0.152,0.163,0.3,0.308
69559,4,80.0,12,0,134,146,3.192,3.22,0.194,0.203,0.298,0.307
1101,4,80.0,17,0,1,18,3.229,3.251,0.03,0.037,0.363,0.375
3025,4,80.0,16,0,10,26,3.185,3.221,0.059,0.066,0.366,0.378
6355,4,80.0,13,0,9,22,3.18,3.217,0.087,0.097,0.373,0.378
10654,4,80.0,13,0,7,20,3.2,3.244,0.05,0.056,0.368,0.375
87,5,120.0,119,0,210,329,3.457,3.567,0.044,0.077,0.162,0.179
260,5,120.0,11,0,88,99,3.4,3.472,0.079,0.09,0.096,0.11
909,5,120.0,23,0,72,95,3.522,3.569,0.041,0.058,0.305,0.31
45637,5,120.0,14,0,20,34,3.338,3.38,0.101,0.124,0.142,0.153
434,1,70.0,662,0,3442,4104,1.883,1.988,0.05,0.097,0.343,0.378
1911,6,60.0,280,0,815,1095,3.964,3.968,0.157,0.224,0.041,0.056
3561,6,60.0,15,0,11,26,3.962,3.963,0.125,0.134,0.149,0.156
6124,6,60.0,57,0,85,142,3.966,3.967,0.186,0.212,0.146,0.16
153,6,60.0,14,0,13,27,3.965,3.966,0.171,0.182,0.151,0.156
624,7,40.0,14,0,44,58,5.101,5.129,0.053,0.057,0.324,0.326
3548,7,40.0,132,0,352,484,5.086,5.137,0.038,0.061,0.124,0.132
8060,7,40.0,22,0,37,59,5.096,5.134,0.052,0.072,0.124,0.131
9799,7,40.0,9,0,47,56,5.171,5.185,0.04,0.049,0.523,0.528
222861,7,40.0,10,0,7,17,5.115,5.135,0.053,0.059,0.126,0.128
17492,8,60.0,6,0,14,20,5.303,5.329,0.027,0.038,0.459,0.466
291316,8,60.0,7,0,12,19,5.212,5.226,0.043,0.049,0.411,0.418
11097,9,150.0,32,0,9,41,2.682,3.276,0.23,0.28,0.014,0.13
163,2,40.0,0,738,910,1648,2.329,2.418,0.2,0.219,0.081,0.098
302,2,40.0,0,143,353,496,2.382,2.421,0.103,0.111,0.056,0.061
6769,2,40.0,0,44,37,81,2.398,2.432,0.148,0.155,0.051,0.056
396,3,40.0,0,242,1393,1635,2.727,2.752,0.163,0.171,0.057,0.063
569,3,40.0,0,389,846,1235,2.619,2.696,0.169,0.184,0.035,0.045
606,3,40.0,0,153,1007,1160,2.569,2.597,0.178,0.183,0.165,0.168
1128,3,40.0,0,389,535,924,2.753,2.819,0.045,0.053,0.008,0.019
1547,3,40.0,0,108,1677,1785,2.637,2.653,0.266,0.271,0.21,0.213
3811,3,40.0,0,49,73,122,2.544,2.582,0.101,0.11,0.184,0.19
3815,3,40.0,0,283,1692,1975,2.56,2.586,0.137,0.144,0.144,0.165
7744,3,40.0,0,78,77,155,2.632,2.673,0.069,0.076,0.041,0.049
10955,3,40.0,0,550,1264,1814,2.67,2.763,0.005,0.027,0.1,0.113
11882,3,40.0,0,66,60,126,2.68,2.711,0.058,0.066,0.031,0.04
12739,3,40.0,0,240,219,459,2.682,2.749,0.047,0.06,0.031,0.041
13314,3,40.0,0,146,247,393,2.756,2.801,0.17,0.183,0.069,0.079
17392,3,40.0,0,75,83,158,2.643,2.681,0.058,0.07,0.035,0.042
18466,3,40.0,0,155,336,491,2.761,2.807,0.17,0.183,0.229,0.236
21344,3,40.0,0,62,36,98,2.708,2.741,0.15,0.16,0.046,0.05
29841,3,40.0,0,53,53,106,2.639,2.669,0.051,0.06,0.033,0.04
32418,3,40.0,0,48,72,120,2.763,2.799,0.254,0.261,0.152,0.156
53546,3,40.0,0,47,130,177,2.709,2.739,0.169,0.175,0.246,0.251
159,4,40.0,0,45,43,88,3.091,3.131,0.11,0.117,0.084,0.09
618,4,40.0,0,46,518,564,3.174,3.204,0.056,0.06,0.27,0.278
1189,4,40.0,0,38,170,208,2.903,2.941,0.07,0.076,0.192,0.194
7468,4,40.0,0,45,22,67,3.029,3.075,0.087,0.091,0.059,0.062
8737,4,40.0,0,37,53,90,3.116,3.142,0.112,0.121,0.207,0.211
16286,4,40.0,0,68,91,159,2.845,2.881,0.038,0.047,0.101,0.112
18405,4,40.0,0,85,297,382,2.831,2.862,0.102,0.11,0.157,0.162
21885,4,40.0,0,42,63,105,3.077,3.117,0.026,0.035,0.184,0.189
31811,4,40.0,0,89,195,284,3.095,3.142,0.059,0.076,0.178,0.189
43176,4,40.0,0,47,115,162,3.106,3.156,0.064,0.075,0.173,0.184
